,Xmax,Ymin
6140_0_2,0.009156,-0.009042
6140_0_1,0.009169,-0.00904
6140_0_0,0.009188,-0.00904
6120_3_4,0.009158,-0.009043
6120_3_2,0.009156,-0.009042
6120_3_3,0.00918785084174,-0.00903985324438
6120_3_0,0.009161,-0.009042
6120_3_1,0.009188,-0.00904
6100_1_2,0.009188,-0.00904
6100_1_3,0.009156,-0.009042
6100_1_0,0.00918785084174,-0.00903985324438
6100_1_1,0.00915030000001,-0.00904230000001
6100_1_4,0.00916890144189,-0.00903990282851
6140_4_3,0.009169,-0.00904
6140_4_2,0.00915030000001,-0.00904230000001
6140_4_1,0.00918785084174,-0.00903985324438
6140_4_0,0.009007,-0.009037
6140_4_4,0.009188,-0.00904
6160_0_4,0.00918,-0.00904
6140_2_1,0.009188,-0.00904
6140_2_0,0.00916890144189,-0.00903990282851
6140_2_3,0.00916890144189,-0.00903990282851
6140_2_2,0.009169,-0.00904
6140_2_4,0.009169,-0.00904
6030_4_3,0.009161,-0.009042
6030_4_2,0.009188,-0.00904
6030_4_1,0.009161,-0.009042
6030_4_0,0.009016,-0.009037
6030_4_4,0.009161,-0.009042
6160_0_0,0.009161,-0.009042
6030_2_1,0.009156,-0.009042
6030_2_0,0.00916840849034,-0.00904040278717
6030_2_3,0.00900449999928,-0.00904499999928
6030_2_2,0.00915030177037,-0.00904229820849
6030_2_4,0.00918785084174,-0.00903985324438
6090_3_2,0.009161,-0.009042
6090_3_3,0.009188,-0.00904
6090_3_0,0.009169,-0.00904
6090_3_1,0.009161,-0.009042
6090_3_4,0.009153,-0.00904227182882
6080_3_4,0.009005,-0.009034
6170_4_4,0.00915,-0.009031
6170_4_2,0.009169,-0.00904
6170_4_3,0.009188,-0.00904
6170_4_0,0.009016,-0.009037
6170_4_1,0.00916931787837,-0.00903960155717
6160_4_1,0.00915030177037,-0.00904229820849
6160_4_0,0.00916840849034,-0.00904040278717
6160_4_3,0.009169,-0.009031
6160_4_2,0.0091557,-0.0090423
6160_4_4,0.009007,-0.009037
6080_1_3,0.009188,-0.00904
6080_1_2,0.00918,-0.00904
6080_1_1,0.009169,-0.00904
6080_1_0,0.00915,-0.009031
6080_1_4,0.009169,-0.009031
6170_2_4,0.00915030000001,-0.00904230000001
6170_2_0,0.009005,-0.009034
6170_2_1,0.009156,-0.009042
6170_2_2,0.009188,-0.00904
6170_2_3,0.0091881,-0.0090396
6170_0_2,0.009169,-0.009042
6170_0_3,0.00918785084174,-0.00903985324438
6170_0_0,0.009161,-0.009042
6170_0_1,0.00918785084174,-0.00903985324438
6170_0_4,0.00915,-0.009042
6090_1_4,0.009156,-0.009042
6120_4_4,0.009188,-0.00904
6120_4_1,0.009161,-0.009042
6120_4_0,0.0090126,-0.009045
6120_4_3,0.00916931787837,-0.00903960155717
6120_4_2,0.009016,-0.009037
6120_0_1,0.00916890144189,-0.00903990282851
6120_0_0,0.009188,-0.00904
6120_0_3,0.009169,-0.009042
6120_0_2,0.00918809999947,-0.00903960000054
6030_1_2,0.009188,-0.00904
6120_0_4,0.009188,-0.00904
6030_1_0,0.00918809999947,-0.00903960000054
6110_0_1,0.00915,-0.009042
6130_3_1,0.009188,-0.00904
6130_3_0,0.00915,-0.009042
6130_3_3,0.009169,-0.009031
6130_3_2,0.009188,-0.00904
6160_0_1,0.009188,-0.00904
6130_3_4,0.009188,-0.00904
6160_0_3,0.00916931787837,-0.00903960155717
6160_0_2,0.009188,-0.00904
6160_2_3,0.009171,-0.009042
6160_2_2,0.00900449999928,-0.00904499999928
6160_2_1,0.009161,-0.009042
6160_2_0,0.0090126,-0.009045
6160_2_4,0.00917980002586,-0.00903980307558
6130_1_4,0.009169,-0.00904
6130_1_3,0.009188,-0.00904
6130_1_2,0.00915030000001,-0.00904230000001
6130_1_1,0.00900449999928,-0.00904499999928
6130_1_0,0.009188,-0.00904
